NOMBRE DE LA FARMACIA,NOMBRE DE CONTACTO,DIRECCION,DEPARTAMENTO,MUNICIPIO,TELEFONO,CELULAR,NIT
FUENTE DE VIDA,MONICA HELGUERO CANAZA,"AV. LA PAZ NO. 1034, URBANIZACION INTI, ESQ. CALLE RAUL OTERO DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,72056357,6002256018
FUENTE VITAL,HEIDY BRITTNEY GUTIERREZ QUISPE,AVENIDA J.J TORREZ N° 4085 ESQUINA AVENIDA LUIS ESPINAL ZONA VILLA INGENIO DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,73004514,4325806018
FUTURO,JENNY ISABEL ANDRADE MONTECINOS,"AV. 16 DE JULIO NO. 55 P.B. , ZONA 16 DE JULIO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2844872,79138005,2710636014
GABRIEL,SILVIA EUGENIA APAZA RAMOS,"AVENIDA BOLIVIA, NO. 2014, ZONA VILLA CALUYO, ESQUINA CAMINO VIACHA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,61004999,477765701
GABRIELA,PATRICIA TORO PADILLA,"AVENIDA MARISCAL SANTA CRUZ ESQUINA KILOMETRO 7, ZONA CENTRAL DEL MUNICIPIO DE CARANAVI",LA PAZ,CARANAVI,,75245675,5489497017
GABRIEL II,YAMILKA JIMENEZ QUENTA,"AV. JULIO CESAR VALDEZ NO. 6215, ESQUINA CALLE CHOQUEÑA, URBANIZACION COSMOS 69 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,61004999,4777657011
GALENIC FARMA,DANIELA ALEJANDRA YAVE FERNANDEZ,AVENIDA  PASOSKANKI NO 1662 ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,,676785034
GALICIA I,ROSA MARIA VILLARROEL RODRIGUEZ,"AV. BALTASAR SALAS NO. 930, ZONA VINO TINTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,3511050011
GALICIA II,CARLA ALEJANDRA MITA ZABALETA,"CALLE PROLONGACION ISAAC TAMAYO NO. 550 ESTRE CALLE TUMUSLA Y AV. MANCO KAPAC, ZONA SAN SEBASTIAN DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77234952,3511050011
GALICIA III,,"AV. GRAL. JUAN JOSE TORREZ NO. 120, ZONA PERIFERICA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,3511050011
GALLARDIA,GLADYS GALLARDO CORANI,"AV. KANTUTA NO. 2885, ZONA SANTA ISABEL DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77239542,7071644019
GALVANI II,MIRIAM GABY ALARCON LAURA,"AVENIDA ALFONSO UGARTE, N° 95, ENTRE CALLE NANAGUA Y CALLE CHACON, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73200094,4289292015
GAMALEX,GEOVANNA SORUCO USTARES,"CALLE CATACORA ESQ. PICHINCHA NO. 808, EDIF. OLGA PISO P.B., ZONA NORTE, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,3143573015
GANESH,PRIMITIVA CHALCO COAQUIRA,"AVENIDA KOLLASUYO NO. 1466, ZONA CALLAMPAYA, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2380265,71942410,6084492015
GEMMA C. FARMA,MARCO ANTONIO CANDIA OBLITAS,"JOSEFA MUJIA, NO. 101, ZONA VILLA SAN ANTONIO ALTO, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,79532101,6897397014
GENARO SANJINEZ,MABEL NELLY REYNAGA MENDOZA,"CALLE GENARO SANJINEZ NO. 451, ZONA CENTRAL DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,1964161016
GENESIS,BEATRIZ PATTI MAIDANA,"AV. ILLAMPU, NO. 703, ZONA EL ROSARIO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2381731,70663263,6098498014
GENIAL,MARIA ISABEL VARGAS CALLA,ZONA PUERTO MEJILLONES AV. JUAN PABLO II Nº 125 EN LA CUIDAD DE EL ALTO,LA PAZ,EL ALTO,,68149080,2623124017
GIANCARLA,GIANCARLA MARIA CORDERO DIAZ,"AVENIDA SIMON BOLIVAR, NO. 1806 A, ZONA SANTA BARBARA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,73596484,5988127017
GIOVAFARMA,GIOVANA VALDEZ MARTINEZ,"PLAZA JOSE BALLIVIAN NO. 139, ZONA CENTRAL, ENTRE AVENIDA MURILLO Y AVENIDA PISAGUA, FRENTE A LA IGLESIA DEL MUNICIPIO DE VIACHA",LA PAZ,VIACHA,,67336224,8326655011
GLADYFARM,ROSSE MARY MACHICADO JUAREZ,"AV. 6 DE AGOSTO, NO. 2674, ZONA SOPOCACHI BAJO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,76292919-77500018,8326793013
GLOBAFAR SRL,WENDY PAMELA CLAVEL SORIA GALVARRO,"AV. BUENOS AIRES, NO. 1750, ENTRE AV. MARTIN LANDAETA Y JULIO TELLEZ, ZONA BAJO TACAGUA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,68162761,489100023
GLOBAL PHARMA,HUGO CONDE CAPI,"AV. REPUBLICA NO. 1356, ENTRE CALLE GENERAL ROSENDO ROJAS Y AV. QUINTANILLA ZUAZO, ZONA VILLA VICTORIA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,78802693,4284069013
GOODNES,GIOVANA ALBERTO MOLINA,"CALLE 5, ESQUINA DEMETRIO MOSCOSO NO. 555 ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72079760,6153445017
GRACIA,,"AV. JUNA PABLO II, N° B3486, ZONA 16 DE JULIO",LA PAZ,EL ALTO,,75826720,7052126012
GRACIA DIVINA,FANNY VERONICA PATTI CHOQUE,"AV. PRIMAVERA, ESQUINA CALLE DALIA NO. 222, ZONA CAJA FERROVIARIA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,73097584,6821294015
GRAN CHACO,BLANCA VIANCA CHACON QUISPE,"AV. BOLIVIA NO. 2075, VILLA ADELA YUNGUYO, CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2832158,74077126,4366327012
GREGORY - I,JULIA MAMANI HUANCA,"AV. JUAN PABLO SEGUNDO NO. 2455, ENTRE AVENIDA LUIS ESPINAL Y CALLE MARTIN LUTERO , ZONA EX TRANCA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79627656,2602986018
GRUPO EMPRESARIAL PUERTO DEL ROSARIO,JANETH WILMA PATZI SILVESTRE,"ZONA NUEVOS HORIZONTES II, ESQUINA AVENIDA GUADALQUIVIR Y AVENIDA SAN GERONIMO, NO. 3064 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69910577- 63234779,4836949011
GRUPO EMPRESARIAL PUERTO DEL ROSARIO SUCURSAL 1,ANA MARIA PATANA CHAGUA,AV. JUNIN NO. 45 ZONA VILLA ADELA ESQUINA AVENIDA CIRCUNVALACION DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,69910577- 63234779,4836949011
GRUPO EMPRESARIAL PUERTO DEL ROSARIO SUCURSAL 2,ALICIA CACERES PAIRUMANI,"CALLE 9, NO. 23, A MEDIA CUADRA DEL MERCADO 25 DE JULIO, ZONA SANTIAGO II, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69910577,4836949011
GUADALAJARA,YANINA NANCY HUANCA SUCOJAYO,"AVENIDA PUCARANI ESQUINA FOURNIER NO. 325, ZONA BALLIVIAN DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,74004614-65645252,3335938012
GUADALUPE,GIOVANA ALEJANDRA TAPIA PEREIRA,"AVENIDA ANTOFAGASTA NO. 820, ZONA VILLA TEJADA RECTANGULAR, ENTRE CALLE JUAN MATENZO Y CALLE BRACAMONTE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73030342,4983205014
GUAF-MEDIC,ROXANA PATTY MAMANI,"AVENIDA ARMENTIA, EDIFICIO S/N, OFICINA NO. 338, ENTRE CALLE BENI Y AVENIDA CHACALTAYA, ZONA CHALLAPAMPA, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,72512328,4956986016
GUAQUI,BEATRIZ TORRES QUISPE,"AV. HUAYNA POTOSI, NO. 40, ENTRE CALLE TUCUMAN Y CALLE ASUNCION, ZONA ALTO LIMA 2DA SECCION DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67025726,6159434012
GYOLI,JUAN WILSON SAMO CALLISAYA,"CALLE LANZA, NO. 550, EDIF., SIN NOMBRE, P.B., CASI ESQUINA CALLE PISAGUA, ZONA CENTRAL DE LA CIUDAD DE VIACHA",LA PAZ,VIACHA,,75269876-72529368,6074909017
HABANA,GIMRENA SIÑANI URAQUINI,"AV. ÑANCAHUAZU NO. 1004, ZONA VILLA INGENIO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79685354,6763424015
HACIA EL MAR,EFRAIN FERNANDEZ CONDORI,"AVENIDA LADISLAO CABRERA, NO. 17, ZONA MERCEDES, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,62323300,7097476018
HA FARMACIAS,ALISSON WANDA ZEGARRA FLORES,"AVENIDA LOS SAUCES NO. 340, ENTRE CALLE 9 Y PASAJE LAS KANTUTAS, ZONA CALACOTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,72003888,195300020
HALERQ,EULOGIA RAMOS QUESO,"CALLE 22, ESQUINA AVENIDA B NO. 227 ZONA EL KENKO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,65172515,4961998010
HAMASHIACH JHESUA S.R.L.,JOSE CARLOS MULLER LOPEZ,"AVENIDA COHONI, NO. 5146, URBANIZACION GERMAN BUSCH, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67183534-67147448,580569028
HANIEL,MILAGROS IVANA FLORES JAIMES,"CALLE 21DE JUNIO NO. 50 CONDOMINIO DE LAS AMERICAS, ESQ. AV. JAVIER DEL GRANADO, ZONA LAS LOMAS DE ACHUMANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,63252375,2699580017
HARLEN,HARLEN HELEN PRADO NUÑES,"AV. CIUDAD DEL NIÑO, CALLE 6 NO. 88, ZONA PAMPAHASI CENTRAL DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2255087,73240204,3508516010
HASH,RESY ANGELICA HUANCA COLQUE,"AVENIDA SUCRE B, NO. 125, ESQUINA CALLE ORTIZ, ZONA VILLA ESPERANZA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69243135,8930798012
HATIKVA,SARA CARMY FLORES HUAYRAÑA,"AVENIDA LAS RETAMAS NO. 1054 URBANIZACION SANTA ISABEL, ENTRE CALLE GIRASOLES Y AV. ARGELIA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79101767,6039485012
HECTOR YAMIL,JHANET RAMOS CHARCO,"AVENIDA E, NO 25, FERIA KENKO, ZONA GRAN PODER DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,74016623,6973823017
HEKA,LIZBETH HUANCA CHOQUEHUANCA,"AV. CALLE MOXOS NO. 2022, ZONA DE LAS NIEVES Y COTAHUMA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,62588988,9164860017
HEKA SUCURSAL 1,MABEL LIZ ESCOBAR QUISPE,"CALLE MURILLO N°1258, ENTRE BELZU Y ANTONIO PAREDES, ZONA SAN PEDRO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,62588988,9164860017
HEKA  SUCURSAL II,CRISTHIAN CONDORI CABRERA,"AVENIDA MECAPACA, N° 6541, ZONA OBRAJES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,62588988,9164860017
HENRY JOSUE,MARIA ELENA ROJAS CASTILLO,"CALLE 11, ESQUINA RAUL SALMON NO. 1000, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70116882,5483891018
HENRY JOSUE 1,,"CALLE 11 Y CALLE FERNANDO VEZGA, NO. 50, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70116882,5483891018
HF MENDOZA I,GIOVANA FLORES MENDOZA,"AV. JOSE DE SUCRE NO. 3167, ZONA VILLA TUNARI DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,74012241,6865735012
HIGH GARDEN,LUIS FERNANDO CHOQUE BORJES,"CALLE SUCRE, NO. 439, ZONA RIO SECO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70628396,6945616012
HILARI,ARMINDA HILARI MAMANI,"AV. BUENOS AIRES NO. 3143, ENTRE CALLE YACUMA Y AVENIDA SALAMANCA, ZONA URB. BAUTISTA SAAVEDRA U.V.CH MANZANO 45DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75844621,8292299016
HIPERMAXI S.A. SUCURSAL 20 DE OCTUBRE - RENACER,JIMENA MAMANI VILLCA,"AVENIDA 20 DE OCTUBRE NRO. 2255 EDIFICIO RENACER, PLANTA BAJA, OFICINA 2 Y 3, ZONA SOPOCACHI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI S.A. SUCURSAL 8 DE CALACOTO,VERA EMILIANA CHUNGARA VEGA,"CALLE LOS SAUCES 1, NO. 1, ZONA CALACOTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI S.A. SUCURSAL CALACOTO,ANGELA GUISBERT CALLEJAS,"AV. BALLIVIAN NO. 1185, ENTRE CALLES 18 Y 19, ZONA CALACOTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI SA. SUCURSAL CALACOTO,ANGELA GUISBERT CALLEJAS,AVENIDA BALLIVIAN N° 1185 ENTRE CALLES 18 Y 19 ZONA CALACOTO DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI S.A. SUCURSAL COTA COTA,RUTH JULIETA HERMOSA LIZARRAGA,"AV. MUÑOZ REYES NO. 78, ENTRE CALLE 35, Y CALLE 36, ZONA COTA COTA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI S.A. SUCURSAL EL ALTO,NICOLAS ALFONSO PEREZ RAMOS,AV. ALFREDO  SANJINEZ N° 500 ZONA EA D1 TEJADA ALPACOMA EN EL CENTRO COMERCIAL  CINEBOL DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,77314658,1028627052
HIPERMAXI S.A. SUCURSAL LOS PINOS,GLADIS ALBERTINA RONDO LOPEZ,"AV. COSTANERA NO. 85, ZONA CALACOTO LADO CIRCULO AERONAUTICO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI S.A. SUCURSAL MEGA CENTER,,"AVENIDA  TENIENTE CORONEL RAFAEL PABON CUEVAS , EDIFICIO MEGACENTER NO S/N ZONA IRPAVI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,1028627025
HIPERMAXI S.A. SUCURSAL MEGA CENTER,FRANZ GUSTAVO MIRANDA ZEGARRA,"AVENIDA  TENIENTE CORONEL RAFAEL PABON CUEVAS , EDIFICIO MEGACENTER NO S/N ZONA IRPAVI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,1028627025
HIPERMAXI S.A. SUCURSAL MONTENEGRO,MICHELLE JOHVANET VARGAS SALINAS,"ZONA  SAN MIGUEL, AVENIDA MONTENEGRO Nº S/N",LA PAZ,LA PAZ,,75022369,1028627025
HIPERMAXI S.A. SUCURSAL OBRAJES,JIMENA KARINA HUANCA CANAZA,"AV. 14 DE SEPTIEMBRE ENTRE CALLE 14 Y 15, NO. 6020, ZONA OBRAJES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
HIPERMAXI S.A. SUCURSAL SOPOCACHI,LIZETH VERONICA RAMIREZ ROCHA,"AV. 20 DE OCTUBRE, ENTRE CALLE FERNANDO GUACHALLA Y ASPIAZU ZONA DE SOPOCACHI PLANTA 1 (ZOCALO 1), DEL EDIFICIO ""MERCEDES CAMPOS - SINERGIA"" DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77314658,1028627025
H & M,ZENOBIA CALLISAYA CRUZ,"AVENIDA HACIA EL MAR, CARRETERA A VIACHA, URB. SAN CRISTOBAL NO. 1367 ENTRE CALLE 9 Y 10, AL FRENTE DEL CENTRO RECREATIVO VILLA JARDIN DEL MUNICIPIO DE VIACHA",LA PAZ,VIACHA,,73041122,8359139015
HOLANDA,,"AVENIDA HOLANDA NO. 1580, ENTRE AVENIDA AROMA Y CALLE 12, ZONA SANTA ROSA EL ALTO",LA PAZ,EL ALTO,,77572954,4839199010
HOLANDES,MIRIAM BAUTISTA MANCILLA,"AV. PUCARANI, NO. 900, ENTRE CALLE CATACORA Y ALVAREZ PLATA, ZONA BALLIVIAN DEL MUNICIPIO DE EL ALTO",LA PAZ,EL ALTO,,79592976,6992464018
HOREB,JUAN CARLOS SANGA TUCO,"AV. ARGELIA NO. 1704, ZONA LAS DELICIAS DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,,3316977010
HOREB SUCURSAL 1,JUAN CARLOS SANGA TUCO,"CARRETERA A VIACHA NO. 9094, ZONA FRANJA VILLA ADELA DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,77581872,3316977010
HOSPITAL ARCO IRIS S.R.L.,ROSE MARY VARGAS CHUQUILLA,"AVENIDA 15 DE ABRIL NO. 40, ZONA VILLA FATIMA, BARRIO GRAFICO A LA ALTURA DE LA PLAZA VILLARROEL, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2216021,71512972-78887767,1017553028
HOSPITAL DE CLINICAS,ROSA DEL CARMEN ROSSELL SIMON,"AV. SAAVEDRA NO. 2245, EDIF. HOSPITAL DE CLINICAS, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2246275,,122129025
HOSPITAL GENERAL DE LOS YUNGAS,LOURDES CHARICO ATTO,CARRETERA CARMEN PAMPA N°S/N ZONA APANTO - COROICO DEL DEPARTAMENTO DE LA PAZ.,LA PAZ,COROICO,,78863944,124131022
HOSPITAL JUAN XXIII OBRA SOCIAL DE LA IGLESIA,ALEXANDRA FERNANDEZ CARDENAS,"AVENIDA NACIONES UNIDAS, ESQ. CALLE PAPA JUAN XXIII, S/N, P.B. (INTERIOR) ZONA MUNAYPATA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2397000-2396739,67127560-76739127,229058029
HOSPITAL LA PAZ,EFBERTO FIDEL TRUJILLO ACEBERO,ZONA 14 DE SEPTIEMBRE LA CIUDAD DE LA PAZ PROVINCIA MURILLO DEL DEPARTAMENTO DE LA PAZ,LA PAZ,LA PAZ,245433-2454421-2460327,78947279-2460327,1028241022
HOSPITAL MUNICIPAL COTAHUMA,ABEL VENEGAS CHAUCA,"AV. JAIMES FREYRE NO. S/N, EDIFICIO HOSPITAL MUNICIPAL COTAHUMA, P.B. INTERIOR, ZONA TEMBLADERANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2420087-2417686,70644450,1029241022
HOSPITAL MUNICIPAL MODELO BOLIVIANO JAPONES,AMALIA GREGORIA CONDORI APAZA,"CALLE LLULLAYLLACU S/N, EDIF. HOSPITAL MUNICIPAL BOLIVIANOS JAPONES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,891-2881867,,121811020
HOSPITAL PETROLERO DE OBRAJES,HELIANA SALOME BUSTILLOS ANTONIO,"CALLE 8 EDIF. HOSPITAL PETROLERO OBRAJES, PISO P.B. S/N. ESQ. AV. COSTANERITA, ZONA OBRAJES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2784389-2784410,,1016867023
HUATAJATA,LOLY CARLA GUTIERREZ PATZI,"PANAMERICANA NO. 2804, ENTRE AVENIDA ALEXANDER Y J.J. TORREZ, ZONA URBANIZACION 21 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67067569,8361459013
HUATAJATA SUCURSAL 1,EVELYN GUTIERREZ PATZI,"AVENIDA 16 DE JULIO NO. 57, ENTRE CALLES 6 Y 7, A UNA CUADRA DE LA TERMINAL INTERPROVINCIAL, ZONA VILLA ESPERANZA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67067569,8361459013
IBUFARMA ROSA,JESUS ALBERTO CALLISAYA MOLLERICONA,"AVENIDA COCHABAMBA NO 1724 ENTRE CALLE 9 Y AVENIDA  COCHABAMBA ,ZONA CHIJINI DE  EL ALTO",LA PAZ,LA PAZ,,67334323,6793804017
INCA,EMIGDIO QUIRIJOTA CANCENO,AV. SATELITE NO. 171 ZONA SANTIAGO I DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,73008875-67096197,4255348019
INDIGO,ZELENA CONDORY HUARAYO,"CALLE ALCIDES ARGUEDAS NO. 221, EDIF. S/N OFICINA 2 FINAL KOLLASUYO, ESQ. AVENIDA NACIONES UNIDAS CASI FRENTE AL SEMAFORO, ZONA LA PORTADA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,68575868,7970791018
INNOVA,ROCIO ELFY CALDERON ZAMBRANA,"CALLE F ROMERO NO. 555, ZONA VILLA DOLORES, ENTRE CALLES 9 Y 10 DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,67039584,4306721019
INNOVA I,FEDRA YOLANDA ESPINOZA GUTIERREZ,"AVENIDA CIVICA , NO. 55, ZONA VILLA TEJADA RECTANGULAR, ENTRE CALLE 2 Y 3 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67039584,4306721019
INNOVA III,MARCO ANTONIO CAZA MAMANI,CALLE F ROMERO NRO 855 ZONA VILLA DOLORES ENTRE CALLE 6 Y CALLE 7 (PB ESTERIOR),LA PAZ,EL ALTO,,67039584,4306721019
INNOVAMAGISTRAL S.R.L.,WENDELIN KAREM SHIGLER SILES,"AVENIDA DEL POLICIA, EDIFICIO S/N, PISO 1, OFICINA 1, NO. 214, ZONA CIUDAD SATELITE ESQUINA BESTRES A UNA CUADRA Y MEDIA DEL CINEBOL DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69712400,415549020
"INSTITUCION CENTRO HOSPITAL SAN FRANCISCO DE ASIS, HERMANAS FRANCISCANAS HIJAS DE LA MISERICORDIA",SANDRA SOFIA FERNANDEZ NINAHUANCA,"CALLE COSTANERA Y CALLE 1, NO 54, ZONA VILLA EL CARMEN DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2210772,78660683,1004791028
"INSTITUTO NACIONAL DE OFTALMOLOGIA ""DR. JAVIER PESCADOR SARGET""",SILVIA EUGENIA MAMANI ZARATE,"CALLE CLAUDIO SANJINEZ NO. 1836, EDIFICIO INO, PISO 1,ENTRE AVENIDA SAAVEDRA, FRENTE A LA CALLE FRANCISCO DE MIRANDA, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2222701-2242062,781112784,1002661025
INTEGRACION LA PAZ,LILY CARMEN ROJAS LEDESMA,"PLAN AUTOPISTA, CALLE ""C"", MANZANO LL-ACHACHICALA NO. 133",LA PAZ,LA PAZ,2160714,72083737,3459025016
INTELIGENTE,LIZETH VANIA VARGAS QUISBERT,"CALLE 4 NO. 402, EDIFICIO IC CRESPO SRL, PISO PB, OFICINA TIENDA EXTERIOR, ENTRE AVENIDA 6 DE MARZO Y CALLE JORGE CARRASCO, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79610120,5956758011
INTERNA CLINICA LOS ANDES,IVETTE GUERRA CONDORI,"AVENIDA JOSE AGUIRRE ACHA NO. 200, ZONA LOS PINOS DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2795701,72024013,142469027
INTERNA DE SOCIEDAD MEDICA ALEMANA S.R.L.,NATHALIE ALESSANDRA VEDIA PALENQUE,"AVENIDA 6 DE AGOSTO, NO. 2821, ZONA SAN JORGE DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2433676-2432155-2440355,76228034,1007029021
INTIPHARMA,DAVID FERNANDEZ YUJRA,"AV. JORGE CARRASCO ENTRE CALLE 5 Y 6 NO. 100, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,64060614,4845610018
INTIPHARMA SUCURSAL 1,ELIZABETH MALDONADO MAMANI,"CALLE 9, NO. 603, ENTRE LA AVENIDA 6 DE MARZO Y AVENIDA JORGE CARRASCO, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79584065,4845610018
INTI WARA,HERIBERTO ALI MAMANI,"ENTRE CALLES 11 Y 12, CARRETERA VIACHA NO. 1065, ZONA URBANIZACION INTI DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,,4291676015
ISABELITA - VAS,WALDO OLIVER ALANOCA VASQUEZ,"CALLE 6, NO. 724, ZONA CIUDAD SATELITE, PLAN 405, ENTRE AVENIDA SATELITE Y CALLE 17 A, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,65588522,6904412012
ISLA DEL SOL,ROLO ALARCON POMACUSI,"CALLE CONSTANTINO DE MEDINA, NO. 20, ENTRE CALLE 4 Y 3, ZONA VILLA DOLORES, DE LA CIUDAD DE EL ALTO DEL DEPARTAMENTO DE LA PAZ",LA PAZ,EL ALTO,,65645656,6732387013
ISRAELITA,MARIELA ESTHER CHAVEZ URURI,"AVENIDA MARIASCAL SANTA CRUZ N1 938, ZONA CENTRAL DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,79018084,676260038
ISSOL,SOLEDAD MERY TICONA MACHACA,AVENIDA BELGRANO ENTRE ARTURO VALLE N°3960 ZONA VILLA ESPERANZA DE LA CIUDAD DE EL ALTO.,LA PAZ,EL ALTO,,69734845,6037203012
ISSOL SUCURSAL 1,CINTHIA ROCETH GUTIERREZ CHOQUE,"AVENIDA COSTANERA, NO. 40, ZONA COMPLEMENTO MEJILLONES, ENTRE AVENIDA JUAN PABLO II Y AVENIDA TRINIDAD Y TOBAGO PLANTA BAJA EXTERIOR A-30 METROS DEL PUENTE RIO SECO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69734845,6037203012
IVOFARMA,PETTY IVONE GUTIERREZ ALVARADO,"AV. ISMAEL VASQUEZ, EDIFICIO BEITA NO. 276 ZONA PURA PURA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2459626,72420421,3986915012
IVONNE,BERNARDINA QUISPE CHUQUIMIA,"AVENIDA CAQUINGORA NO. 1953, URBANIZACION COSMOS 79, ""D"", ENTRE CALLES 15 Y 16 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,65103185,4868213019
JADETC,ERICK ISSAMAR AUZA RODRIGUEZ,"AV. RADIAL NO. 8502, ENTRE CALLES LA PAZ Y FLOR DE MAYO, FRENTE AL COLEGIO SAN FELIPE DE SEKE, ZONA SAN FELIPE DE SEKE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72515238,6721311012
